iter	RMSE
0	14.79724292
1	14.42161943
2	14.04057187
3	13.69473838
4	13.33590164
5	13.04499774
6	12.73628696
7	12.45429436
8	12.19324841
9	11.89680454
10	11.60748184
11	11.33928894
12	11.12864164
13	10.89987915
14	10.68244287
15	10.4443835
16	10.22474948
17	10.02018147
18	9.812151056
19	9.614998984
20	9.445360341
21	9.274921606
22	9.094301565
23	8.928725276
24	8.775318988
25	8.64521317
26	8.49680707
27	8.361607875
28	8.221693609
29	8.104787001
30	7.987020581
31	7.871863131
32	7.769139092
33	7.678348265
34	7.575226609
35	7.483904755
36	7.398228063
37	7.319920794
38	7.236348845
39	7.159668034
40	7.087791324
41	7.020062421
42	6.944220401
43	6.890634078
44	6.831832269
45	6.771290877
46	6.708648232
47	6.655306575
48	6.598165699
49	6.546740653
50	6.499415406
51	6.453874065
52	6.405482324
53	6.356604856
54	6.310456774
55	6.27247592
56	6.235416789
57	6.199242203
58	6.162732981
59	6.130550514
60	6.094925588
61	6.065206057
62	6.03242021
63	6.000050627
64	5.971438431
65	5.943228085
66	5.91255711
67	5.885021112
68	5.865313261
69	5.842582876
70	5.819647105
71	5.794805453
72	5.776088845
73	5.754420397
74	5.734640172
75	5.715879852
76	5.698612489
77	5.683522324
78	5.670897254
79	5.650352308
80	5.633992558
81	5.621668536
82	5.603509378
83	5.584430373
84	5.568001339
85	5.550882956
86	5.53818149
87	5.527161649
88	5.515123109
89	5.503915335
90	5.489355417
91	5.479045464
92	5.470403942
93	5.461124143
94	5.450089038
95	5.439229707
96	5.429137548
97	5.421925719
98	5.412905334
99	5.400370194
100	5.393573576
101	5.38420785
102	5.375209478
103	5.364198127
104	5.357529241
105	5.345606183
106	5.336698455
107	5.331052095
108	5.323743169
109	5.313945721
110	5.306985392
111	5.301839313
112	5.296710183
113	5.289778836
114	5.28242044
115	5.277316965
116	5.27175095
117	5.265888796
118	5.256363329
119	5.251433084
120	5.248885153
121	5.242978803
122	5.238283556
123	5.230104572
124	5.222400916
125	5.216779587
126	5.211836451
127	5.205738154
128	5.202792084
129	5.197663559
130	5.19298508
131	5.189948503
132	5.18107156
133	5.175741738
134	5.168271024
135	5.164490742
136	5.157785319
137	5.156388288
138	5.150164251
139	5.144794655
140	5.138785072
141	5.134115872
142	5.130342076
143	5.126506314
144	5.122202382
145	5.117632504
146	5.114707445
147	5.108764208
148	5.104011429
149	5.099135813
150	5.096496849
151	5.090769382
152	5.085562603
153	5.081865308
154	5.07746564
155	5.0730504
156	5.068369493
157	5.063516456
158	5.055803823
159	5.052794776
160	5.044658553
161	5.041521972
162	5.037331843
163	5.03617153
164	5.03519858
165	5.029351874
166	5.021849674
167	5.016042158
168	5.010512756
169	5.005319317
170	5.001915658
171	4.998563538
172	4.995912249
173	4.989606681
174	4.984237803
175	4.978178159
176	4.972617056
177	4.971301535
178	4.966006952
179	4.959345821
180	4.955703915
181	4.952178536
182	4.950005696
183	4.944216173
184	4.937732717
185	4.933140789
186	4.930704376
187	4.925074387
188	4.921579465
189	4.915918663
190	4.912711171
191	4.908532081
192	4.904506109
193	4.898134912
194	4.89279652
195	4.889451632
196	4.881078052
197	4.878785559
198	4.8745527
199	4.869353357
200	4.864292855
201	4.862263109
202	4.859423978
203	4.856766065
204	4.853450995
205	4.845548698
206	4.843068362
207	4.836165809
208	4.830961322
209	4.825787074
210	4.823017407
211	4.819713474
212	4.815211666
213	4.810900695
214	4.804171847
215	4.802349487
216	4.798037529
217	4.795384977
218	4.792357056
219	4.788736974
220	4.784854168
221	4.782953564
222	4.778407068
223	4.776054609
224	4.773260011
225	4.769845739
226	4.766403852
227	4.762022203
228	4.756126813
229	4.748410601
230	4.745418217
231	4.742253785
232	4.737360363
233	4.731986024
234	4.728848597
235	4.725082386
236	4.720624213
237	4.714485592
238	4.712500562
239	4.708047477
240	4.703486951
241	4.700495385
242	4.697848829
243	4.693004484
244	4.686447641
245	4.683967306
246	4.682046361
247	4.676891488
248	4.671319918
249	4.667609423
250	4.664549449
251	4.659167168
252	4.656260152
253	4.652375969
254	4.651139426
255	4.644974937
256	4.642409793
257	4.635604486
258	4.632591705
259	4.62713718
260	4.624139599
261	4.622418424
262	4.618259499
263	4.615295927
264	4.61359454
265	4.608150335
266	4.601725667
267	4.596476123
268	4.59309157
269	4.589233698
270	4.583466678
271	4.57785182
272	4.575065237
273	4.568982699
274	4.567103964
275	4.563119601
276	4.55897547
277	4.556898177
278	4.551586508
279	4.549811066
280	4.547848763
281	4.54234079
282	4.537120559
283	4.53572506
284	4.533972862
285	4.531745203
286	4.528795463
287	4.525853115
288	4.519662616
289	4.517467659
290	4.513019372
291	4.505130879
292	4.503816796
293	4.497615657
294	4.495097072
295	4.491692043
296	4.491182759
297	4.489547059
298	4.484167006
299	4.479130902
300	4.47602049
301	4.470428603
302	4.470095802
303	4.465125547
304	4.459471071
305	4.454392115
306	4.452239976
307	4.450018784
308	4.444020134
309	4.440538021
310	4.438963244
311	4.432897456
312	4.4287252
313	4.426633577
314	4.423590943
315	4.419201142
316	4.416833598
317	4.41576247
318	4.414068606
319	4.410784237
320	4.408280584
321	4.403533998
322	4.399660868
323	4.395671318
324	4.392435063
325	4.390198479
326	4.385632245
327	4.38170465
328	4.379225291
329	4.374264305
330	4.369152845
331	4.365413982
332	4.363113638
333	4.360894758
334	4.35608723
335	4.352151849
336	4.348418029
337	4.342763603
338	4.340638437
339	4.33536938
340	4.331018164
341	4.329224304
342	4.32618954
343	4.323041066
344	4.318645316
345	4.317484799
346	4.31580173
347	4.310959613
348	4.309259307
349	4.305862866
350	4.301247804
351	4.297294488
352	4.296062984
353	4.294460571
354	4.293399768
355	4.291427689
356	4.290362843
357	4.287077182
358	4.284129003
359	4.279569817
360	4.278686226
361	4.275354714
362	4.270701756
363	4.265096245
364	4.263086228
365	4.262053283
366	4.260030879
367	4.258238479
368	4.255007573
369	4.249168081
370	4.244761687
371	4.239683605
372	4.238192245
373	4.236755285
374	4.231136798
375	4.228881077
376	4.226768745
377	4.222294506
378	4.216104294
379	4.215276106
380	4.212912011
381	4.209526824
382	4.205530589
383	4.201924177
384	4.198271681
385	4.195162093
386	4.194596622
387	4.192192966
388	4.189024731
389	4.188681867
390	4.188517497
391	4.185899294
392	4.181977132
393	4.180625078
394	4.176340788
395	4.173732973
396	4.169339406
397	4.164827994
398	4.16314145
399	4.161855501
400	4.156927249
401	4.152279469
402	4.151148871
403	4.147119222
404	4.145725496
405	4.144667918
406	4.141376671
407	4.139944064
408	4.138475391
409	4.13754783
410	4.132262191
411	4.127492806
412	4.124278951
413	4.120268369
414	4.119106715
415	4.116251542
416	4.114543918
417	4.112607305
418	4.110868013
419	4.107547931
420	4.105873119
421	4.105362517
422	4.104481396
423	4.101831401
424	4.099793071
425	4.096331642
426	4.09508435
427	4.090262514
428	4.088199106
429	4.084989133
430	4.08304322
431	4.078951563
432	4.075964159
433	4.070284955
434	4.066205113
435	4.061853986
436	4.058499296
437	4.053231201
438	4.050077609
439	4.047308068
440	4.045635934
441	4.044451893
442	4.04359018
443	4.038571444
444	4.034065948
445	4.029119692
446	4.025978309
447	4.025097132
448	4.020456354
449	4.019418819
450	4.015651313
451	4.013260997
452	4.010286968
453	4.005890238
454	4.001639688
455	4.000624208
456	3.996435976
457	3.992922669
458	3.989008616
459	3.988667807
460	3.987701654
461	3.985806415
462	3.984852586
463	3.98043468
464	3.978889039
465	3.977321645
466	3.975071114
467	3.974473887
468	3.973523814
469	3.972301682
470	3.97086208
471	3.966728406
472	3.966296146
473	3.965093197
474	3.96424365
475	3.962578212
476	3.959723167
477	3.954376939
478	3.950445997
479	3.949660097
480	3.949041975
481	3.946149174
482	3.945287757
483	3.942694805
484	3.941145143
485	3.937981844
486	3.937250891
487	3.932919334
488	3.930381615
489	3.928019284
490	3.924867212
491	3.924588027
492	3.921546585
493	3.918755753
494	3.915144401
495	3.913163291
496	3.911646019
497	3.909193
498	3.905978129
499	3.905139171
500	3.902146522
501	3.898970371
502	3.897800306
503	3.896999721
504	3.895514166
505	3.892886523
506	3.889568472
507	3.888842152
508	3.887250804
509	3.884951953
510	3.88129529
511	3.876837174
512	3.87295709
513	3.869592417
514	3.868891
515	3.867199383
516	3.867028059
517	3.863399205
518	3.860390871
519	3.860067107
520	3.859640664
521	3.854884154
522	3.85188809
523	3.846508913
524	3.844779731
525	3.844267888
526	3.843613665
527	3.840221964
528	3.837299806
529	3.836027629
530	3.834173166
531	3.830168059
532	3.826505818
533	3.822128946
534	3.821645719
535	3.819056486
536	3.817105214
537	3.814667398
538	3.809084096
539	3.806520237
540	3.805155232
541	3.801923333
542	3.799679331
543	3.794878007
544	3.791679661
545	3.790563173
546	3.790463761
547	3.786746815
548	3.783602356
549	3.781108056
550	3.777180303
551	3.775549338
552	3.773072567
553	3.769391042
554	3.766454623
555	3.764639902
556	3.76189861
557	3.761204077
558	3.758966769
559	3.754915314
560	3.751073608
561	3.749550382
562	3.747140425
563	3.743219584
564	3.740031594
565	3.739665281
566	3.737733033
567	3.737133564
568	3.734744993
569	3.730817024
570	3.727066549
571	3.723847294
572	3.721793155
573	3.719076459
574	3.715576346
575	3.71257791
576	3.708951591
577	3.706661046
578	3.703661404
579	3.701351178
580	3.698468866
581	3.695099412
582	3.694228615
583	3.69288841
584	3.687993729
585	3.684848185
586	3.684394287
587	3.683256323
588	3.68216238
589	3.679950871
590	3.677954133
591	3.673784502
592	3.673096739
593	3.671976381
594	3.669529666
595	3.667510574
596	3.666410554
597	3.664485112
598	3.661628308
599	3.658738242
600	3.65458001
601	3.652618257
602	3.651692856
603	3.650692873
604	3.648896802
605	3.647682563
606	3.647343431
607	3.646087905
608	3.644935675
609	3.644291903
610	3.642663587
611	3.639978815
612	3.637685357
613	3.6341088
614	3.631176133
615	3.627930714
616	3.625134995
617	3.62265303
618	3.619805799
619	3.619439751
620	3.616748953
621	3.613511498
622	3.612931047
623	3.610460465
624	3.608771959
625	3.606901946
626	3.60535707
627	3.603906542
628	3.601806613
629	3.599117792
630	3.597070966
631	3.593768197
632	3.593360734
633	3.589150806
634	3.588260962
635	3.588170351
636	3.586402506
637	3.585254524
638	3.583478186
639	3.581710896
640	3.581348928
641	3.581165188
642	3.577306679
643	3.574761606
644	3.570472625
645	3.56974024
646	3.568603424
